TrialName,Angle,TruthIn,SimIn
easy_6,1.20586384683,1,1.0
easy_6,1.26933036509,1,1.0
easy_6,1.33279688334,1,1.0
easy_6,1.3962634016,1,1.0
easy_6,1.45972991985,1,1.0
easy_6,1.5231964381,1,1.0
easy_6,1.58666295636,1,1.0
easy_6,1.65012947461,1,1.0
easy_6,1.71359599287,1,1.0
easy_6,1.77706251112,1,1.0
easy_6,1.84052902938,1,1.0
easy_6,1.90399554763,1,1.0
easy_6,1.96746206588,1,1.0
easy_6,2.03092858414,1,1.0
easy_6,2.09439510239,1,1.0
easy_6,2.15786162065,1,1.0
easy_6,2.2213281389,1,1.0
easy_6,2.28479465716,1,1.0
easy_6,2.34826117541,1,1.0
easy_6,2.41172769366,1,1.0
easy_6,2.47519421192,1,1.0
easy_6,2.53866073017,1,1.0
easy_6,2.60212724843,1,1.0
easy_6,2.66559376668,1,1.0
easy_6,2.72906028494,1,1.0
easy_6,2.79252680319,1,1.0
easy_6,2.85599332145,1,1.0
easy_6,2.9194598397,1,1.0
easy_6,2.98292635795,1,1.0
easy_6,3.04639287621,1,1.0
easy_6,3.10985939446,1,1.0
easy_6,3.17332591272,1,1.0
easy_6,3.23679243097,1,1.0
easy_6,3.30025894923,1,1.0
easy_6,3.36372546748,1,1.0
easy_6,3.42719198573,1,1.0
easy_6,3.49065850399,1,1.0
easy_6,3.55412502224,1,1.0
easy_6,3.6175915405,1,1.0
easy_6,3.68105805875,1,1.0
easy_6,3.74452457701,1,1.0
easy_6,3.80799109526,1,1.0
easy_6,3.87145761351,1,1.0
easy_6,3.93492413177,1,1.0
easy_6,3.99839065002,1,1.0
easy_6,4.06185716828,1,1.0
easy_6,4.12532368653,1,0.96
easy_6,4.18879020479,1,0.91
easy_6,4.25225672304,1,0.81
easy_6,4.3157232413,1,0.58
easy_6,4.37918975955,0,0.49
easy_6,4.4426562778,0,0.22
easy_6,4.50612279606,0,0.14
easy_6,4.56958931431,0,0.06
easy_6,4.63305583257,0,0.02
easy_6,4.69652235082,0,0.01
easy_6,4.75998886908,0,0.0
easy_6,4.82345538733,0,0.0
easy_6,4.88692190558,0,0.0
easy_6,4.95038842384,0,0.0
easy_6,5.01385494209,0,0.0
easy_6,5.07732146035,0,0.0
easy_6,5.1407879786,0,0.0
easy_6,5.20425449686,0,0.0
easy_6,5.26772101511,0,0.0
easy_6,5.33118753336,0,0.0
easy_6,5.39465405162,0,0.0
easy_6,5.45812056987,0,0.0
easy_6,5.52158708813,0,0.0
easy_6,5.58505360638,0,0.0
easy_6,5.64852012464,0,0.0
easy_6,5.71198664289,0,0.0
easy_6,5.77545316114,0,0.01
easy_6,5.8389196794,0,0.0
easy_6,5.90238619765,0,0.12
easy_6,5.96585271591,0,0.22
easy_6,6.02931923416,0,0.48
easy_6,6.09278575242,1,0.53
easy_6,6.15625227067,1,0.79
easy_6,6.21971878893,1,0.89
easy_6,6.28318530718,1,0.92
hard_1,0.0,0,0.01
hard_1,0.0634665182543,0,0.02
hard_1,0.126933036509,0,0.02
hard_1,0.190399554763,0,0.02
hard_1,0.253866073017,0,0.03
hard_1,0.317332591272,0,0.02
hard_1,0.380799109526,0,0.0
hard_1,0.44426562778,0,0.02
hard_1,0.507732146035,0,0.04
hard_1,0.571198664289,0,0.03
hard_1,0.634665182543,0,0.02
hard_1,0.698131700798,0,0.0
