"TrialName","WID","ExpCostCondition","TimeCostCondition","Accurate","ShotAngle","ScoreEarned","NumExperiments","PlayTime","ShotTime","ScoreRemaining","WasIntro","TrialOrder","TimedOutShot","ScoreOut","FocusLost","ExpCost","ReconstructedTime","GuessPct"
"easy_4","worker_12","Cheap",6,"True",-1.53377621092,95,0,905,1739,95,"False",0,"False","False","False",10,0.833333333333333,0.39
"easy_4","worker_0","Cheap",6,"True",-1.21670824457,92,0,5044,934,92,"False",9,"False","False","False",10,1.33333333333333,0.39
"easy_4","worker_64","Cheap",6,"True",-1.30804893619,95,0,1065,1137,95,"False",13,"False","False","False",10,0.833333333333333,0.39
"easy_4","worker_47","Cheap",6,"True",-1.3021530503,92,0,1516,1555,92,"False",1,"False","False","False",10,1.33333333333333,0.39
"easy_4","worker_4","Costly",6,"True",-1.38583793658,96,0,869,1279,96,"False",11,"False","False","False",20,0.666666666666667,0.39
"easy_4","worker_32","Cheap",6,"True",-1.48603259768,86,0,2460,999,86,"False",6,"False","False","False",10,2.33333333333333,0.39
"easy_4","worker_65","Costly",6,"True",-1.2661219113,94,0,1152,1763,94,"False",14,"False","False","False",20,1,0.39
"easy_4","worker_26","Cheap",6,"True",-1.31302518456,79,1,2442,1458,79,"False",7,"False","False","False",10,1.83333333333333,0.39
"easy_4","worker_19","Costly",6,"True",-1.33679116008,84,0,2796,1384,84,"False",0,"False","False","False",20,2.66666666666667,0.39
"easy_4","worker_60","Cheap",6,"True",-1.32581766367,79,0,7963,2221,79,"False",1,"False","False","False",10,3.5,0.39
"easy_4","worker_48","Cheap",6,"True",-1.69448598545,77,0,3957,1833,77,"False",8,"False","False","False",10,3.83333333333333,0.39
"easy_5","worker_52","Costly",6,"False",2.12213059093,-10,0,3117,1646,82,"False",9,"False","False","False",20,3,0.34
"easy_5","worker_7","Costly",6,"True",2.15443214587,35,2,5458,1076,35,"False",3,"False","False","False",20,4.16666666666667,0.34
"easy_5","worker_46","Costly",6,"False",-1.39903617547,-10,0,456,2037,98,"False",14,"False","False","False",20,0.333333333333333,0.34
"easy_5","worker_24","Costly",6,"False",1.31051321208,-10,0,4646,1105,73,"False",11,"False","False","False",20,4.5,0.34
"easy_5","worker_12","Cheap",6,"True",-1.2835148734,100,0,185,1800,100,"False",17,"False","False","False",10,0,0.34
"easy_5","worker_10","Costly",6,"True",-1.20611512321,3,3,9489,2027,3,"False",9,"False","False","False",20,6.16666666666667,0.34
"easy_5","worker_43","Cheap",6,"False",1.32819578047,-10,2,9485,1824,39,"False",14,"False","False","False",10,6.83333333333333,0.34
"easy_5","worker_48","Cheap",6,"False",-1.33578411107,-10,1,4368,1174,68,"False",6,"False","False","False",10,3.66666666666667,0.34
"easy_5","worker_55","Cheap",6,"False",-2.16256159903,-10,0,2619,1359,87,"False",13,"False","False","False",10,2.16666666666667,0.34
